tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1745,17:18.6,46:24.3,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42537,Subscriber,1990,1
1736,17:19.1,46:15.4,3638,Washington St,40.7242941,-74.0354826,3638,Washington St,40.7242941,-74.0354826,42380,Customer,1969,0
188,18:32.5,21:41.3,3280,Astor Place,40.7192822,-74.07126188,3679,Bergen Ave,40.72210379,-74.071455,42483,Subscriber,1984,1
394,18:42.9,25:17.0,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,42348,Subscriber,1970,2
215,18:50.4,22:26.0,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,42147,Subscriber,1968,1
149,19:14.7,21:43.7,3280,Astor Place,40.7192822,-74.07126188,3679,Bergen Ave,40.72210379,-74.071455,40469,Subscriber,1990,2
1174,19:17.4,38:51.6,3272,Jersey & 3rd,40.72333159,-74.04595256,3272,Jersey & 3rd,40.72333159,-74.04595256,42327,Subscriber,1970,1
1727,19:26.6,48:14.3,3677,Glenwood Ave,40.72755147,-74.07106072,3199,Newport Pkwy,40.7287448,-74.0321082,42422,Subscriber,1959,1
191,20:29.3,23:40.4,3193,Lincoln Park,40.7246051,-74.07840595,3678,Fairmount Ave,40.72572614,-74.07195926,42129,Subscriber,1978,1
1732,21:43.2,50:35.5,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,42308,Subscriber,1966,1
753,21:54.1,34:27.8,3679,Bergen Ave,40.72210379,-74.071455,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42483,Subscriber,1984,1
450,21:59.1,29:29.3,3679,Bergen Ave,40.72210379,-74.071455,3268,Lafayette Park,40.71346383,-74.06285852,40469,Subscriber,1990,2
1632,22:18.3,49:30.8,3198,Heights Elevator,40.74871595,-74.0404433,3199,Newport Pkwy,40.7287448,-74.0321082,42285,Subscriber,1981,1
1315,22:26.5,44:22.2,3195,Sip Ave,40.7308971,-74.06391263,3195,Sip Ave,40.7308971,-74.06391263,42197,Subscriber,1969,1
1629,25:35.0,52:44.2,3213,Van Vorst Park,40.71848892,-74.04772663,3272,Jersey & 3rd,40.72333159,-74.04595256,42578,Customer,1980,2
1607,25:49.9,52:37.7,3213,Van Vorst Park,40.71848892,-74.04772663,3272,Jersey & 3rd,40.72333159,-74.04595256,42256,Customer,1981,1
1670,25:55.2,53:45.6,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,42570,Subscriber,1993,1
1655,26:24.2,53:59.2,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,42496,Customer,1969,0
15273,28:08.4,42:42.2,3268,Lafayette Park,40.71346383,-74.06285852,3184,Paulus Hook,40.7141454,-74.0335519,42164,Subscriber,1992,1
1477,28:32.9,53:10.1,3192,Liberty Light Rail,40.7112423,-74.0557013,3638,Washington St,40.7242941,-74.0354826,42624,Subscriber,1979,1
2001,32:31.4,05:52.6,3214,Essex Light Rail,40.7127742,-74.0364857,3267,Morris Canal,40.71241882,-74.03852552,39591,Subscriber,1975,1
1999,34:56.1,08:15.1,3640,Journal Square,40.73367,-74.0625,3640,Journal Square,40.73367,-74.0625,42300,Subscriber,1992,2
1974,35:06.8,08:01.7,3640,Journal Square,40.73367,-74.0625,3640,Journal Square,40.73367,-74.0625,42595,Subscriber,1988,1
1055,37:02.5,54:38.2,3213,Van Vorst Park,40.71848892,-74.04772663,3273,Manila & 1st,40.72165072,-74.04288411,42145,Subscriber,1968,1
1735,37:06.6,06:01.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3199,Newport Pkwy,40.7287448,-74.0321082,42611,Customer,1997,1
423,37:32.5,44:36.1,3639,Harborside,40.7192517,-74.034234,3211,Newark Ave,40.72152515,-74.04630454,42118,Subscriber,1986,1
16548,38:06.2,13:55.1,3195,Sip Ave,40.7308971,-74.06391263,3694,Jackson Square,40.71113,-74.0789,42532,Customer,1969,0
1731,38:15.8,07:07.0,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3192,Liberty Light Rail,40.7112423,-74.0557013,42487,Customer,1969,0
16537,38:16.5,13:53.7,3195,Sip Ave,40.7308971,-74.06391263,3694,Jackson Square,40.71113,-74.0789,42269,Customer,1969,0
577,39:39.2,49:16.4,3199,Newport Pkwy,40.7287448,-74.0321082,3267,Morris Canal,40.71241882,-74.03852552,42536,Subscriber,1961,2
7132,40:03.4,38:55.7,3278,Monmouth and 6th,40.72568548,-74.04879034,3278,Monmouth and 6th,40.72568548,-74.04879034,42232,Subscriber,1970,1
712,42:05.7,53:58.4,3273,Manila & 1st,40.72165072,-74.04288411,3199,Newport Pkwy,40.7287448,-74.0321082,42137,Subscriber,1989,2
