tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
3554,16:38.3,15:53.0,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42173,Customer,1969,0
3562,16:48.1,16:10.6,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,42266,Customer,1969,0
245,17:35.0,21:40.4,3193,Lincoln Park,40.7246051,-74.07840595,3191,Union St,40.7182113,-74.0836394,42625,Subscriber,1970,1
2712,18:12.1,03:25.0,3275,Columbus Drive,40.7183552,-74.03891444,3225,Baldwin at Montgomery,40.7236589,-74.0641943,42492,Customer,1987,2
1532,23:21.3,48:54.3,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,42439,Subscriber,1990,1
921,25:28.9,40:50.2,3186,Grove St PATH,40.71958612,-74.04311746,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42283,Customer,1988,1
299,30:31.2,35:30.2,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.7308971,-74.06391263,42154,Subscriber,1980,1
1536,31:03.6,56:40.0,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42255,Subscriber,1951,1
766,32:13.2,45:00.0,3202,Newport PATH,40.7272235,-74.0337589,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42364,Subscriber,1988,1
1487,32:13.4,57:00.7,3268,Lafayette Park,40.71346383,-74.06285852,3186,Grove St PATH,40.71958612,-74.04311746,42224,Subscriber,1989,2
435,38:54.8,46:10.5,3191,Union St,40.7182113,-74.0836394,3193,Lincoln Park,40.7246051,-74.07840595,42625,Subscriber,1970,1
101,45:11.5,46:53.4,3199,Newport Pkwy,40.7287448,-74.0321082,3202,Newport PATH,40.7272235,-74.0337589,42219,Subscriber,1992,1
1170,45:25.0,04:55.9,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,42154,Subscriber,1987,1
189,45:46.2,48:55.4,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,42475,Subscriber,1976,1
529,45:46.4,54:36.3,3195,Sip Ave,40.7308971,-74.06391263,3211,Newark Ave,40.72152515,-74.04630454,42375,Customer,1969,0
1332,47:16.3,09:28.4,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42382,Customer,1989,2
1293,47:25.9,08:59.2,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,42425,Customer,1987,1
198,51:12.0,54:30.0,3640,Journal Square,40.73367,-74.0625,3201,Dey St,40.737711,-74.066921,41356,Subscriber,1974,2
451,52:00.7,59:31.8,3273,Manila & 1st,40.72165072,-74.04288411,3205,JC Medical Center,40.71653978,-74.04963791,42518,Subscriber,1983,2
1717,53:11.0,21:48.5,3195,Sip Ave,40.7308971,-74.06391263,3191,Union St,40.7182113,-74.0836394,42528,Customer,1969,0
1825,58:00.8,28:26.6,3187,Warren St,40.7211236,-74.03805095,3638,Washington St,40.7242941,-74.0354826,42474,Subscriber,1990,1
